,기입날짜,별점,옵션,후기,sentiment,
0,23.04.14.,5,모델: NEW 에어팟3세대 / 옵션: 20-마샬,아들이 너무 좋아해요,1,
1,23.04.14.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,그냥 무난하니 괜찮은것 같아요,1,
2,23.04.14.,5,모델: NEW 에어팟3세대 / 옵션: 20-마샬,마감이 살짝 아쉽긴한데 이쁘긴하네요!!,0,
3,23.04.13.,5,모델: 에어팟 프로/프로2 / 옵션: 프로16-카메라민트,"퇴근시간 전 주문하고 다음날 배송받았어요!! 대박
선물용으로 구매했는데 작고 귀여워요. 얼른 프로2에 씌워보고싶은 ㅎㅎ. 1개사도 무배인데 뇌물로 주신 깨알 키티 🙏🏻감사히쓰겠습니다.",1,
4,23.04.12.,5,모델: NEW 에어팟3세대 / 옵션: 19-닌텐도,좋아요 만족합니다!!,1,
5,23.04.12.,5,모델: NEW 에어팟3세대 / 옵션: 17-테디도그 화이트,"너무 귀여워용 뇌물까지 주셔서 정말감사합니당 
실리콘 보라색이 없어서 슬펐는데 불투명도 예쁘네요 충전할때 불빛도 보이고 좋아용",1,
6,23.04.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,너무 예뻐요 완전 추천,1,
7,23.04.11.,5,모델: 프로/프로2 / 옵션: 프로12-투명젤리케이스 + 키링,그냥 기본쓰는것이 최고인듯 합니다....ㅎㅎ;;,1,#
8,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,"이거 진짜 에바네요. 너무 귀여운 거 아닌가요
무겁다고 해서 걱정했는데 전혀 걱정할 정도 아닌듯여
여기가 젤 저렴하고 배송도 빨라요 굿",1,
9,23.04.11.,5,모델: NEW 에어팟3세대 / 옵션: 05-상어,참을수없는구ㅏ여움 ㅠㅠㅠ,1,
10,23.04.11.,5,모델: NEW 에어팟3세대 / 옵션: 58-카키,판매자분 친절하시고 물건 넘 귀여워옹😆😆,1,
11,23.04.11.,5,모델: NEW 에어팟3세대 / 옵션: 19-닌텐도,만족하고 아주 잘 사용해요,1,
12,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,"케이스가 깔끔하고 예뻐요!!
사은품도 마리오 너무 예쁘고 너무 좋네요!!",1,
13,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-쿼카 브라운,"디자인이 사진과 똑같이 너무 예쁘고 귀여워요!!!
케이스를 많이 사봤는데 여기가 제일 예쁜 거 같아요
마음에 정말 쏙 듭니다!!!
약간 유격이 있지만 마감이 나쁘지는 않습니다!",1,
14,23.04.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-닌텐도,너무너무 좋습니다.,1,
15,23.04.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로16-카메라민트,디자인도 이쁘고 괜찮네요 ㅎㅎ,1,
16,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로04-상어,좋습니다 근데 먼지도 잘 붙을듯해요,0,
17,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로18-하얀 냥이,캐릭터 에어팟 케이스로 좋아요,1,
18,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로23-인스타,착용 해봤는데 완전 이쁩니다!!,1,
19,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로21-감귤꼬꼬 캐릭터,귀엽고 퀄리티 좋네요 ㅎㅎ,1,
20,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로03-쿼카 화이트,배송 빠르게 왔습니다.,1,
21,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,배송 빠르게 왔습니다.,1,
22,23.04.07.,5,모델: 에어팟 프로/프로2 / 옵션: 프로10-투슬리스블랙,튜슬리스너무 좋아하는.애미에 캐릭터인데 요범에 에어팟을 새로구매하면서 케이스부터 구매해버린 ㅎㅎ 너무이뻐요 ㅎㅎ 그리고 요 작은 선물???요것도ㅠ감사해요 ㅎㅎ 근대 요작은선물은 어디엨사용하는건지???ㅎㅎ,1,
23,23.04.07.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,빠른배송감사드려요~ 깔끔합니다,1,
24,23.04.07.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,좋습니다 저렴하게 구매했구요 무료배송에 선물까지.퀄리티도 좋네요 귀여워요,1,
25,23.04.07.,5,모델: NEW 에어팟3세대 / 옵션: 26-아이언맨,저렴하고 좋습니다 2+1 이라 2개 구매했고 선물로 온것도 맘에 들어요^^!,1,
26,23.04.07.,5,모델: 에어팟 프로/프로2 / 옵션: 프로23-인스타,"빠르게 배송 해주셨는데 택배사에서 시간을 좀 잡아먹어서 늦게 도착했네요 ㅎ 귀여운 스티커 때문에도 기분이 좋아지네요 ㅎ 
제품 자체는 딱 가격정도에요 ㅎ",0,
27,23.04.06.,5,모델: 에어팟 프로/프로2 / 옵션: 프로11-무지개,"배송도빠르고 한개만샀는데도 
단선 방지하는것 사은품  주셧어요 ~ 

오렌지가 전에 쓰던것인데 
무지개 케이스가 너무 크긴커요 
좀더 작앗더라면 ,,,,,ㅠ ㅠ",0,
28,23.04.06.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-쿼카 브라운,"쿼카 짱귀여워용!!
그리고 서비스로 귀여운 케이스와 기타 아이템들 받을 수 있어 좋습니다!!!",1,
29,23.04.06.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,양 끝에 뚜껑부분이 뜨는게 킹받지만 그래도 싸게 샀으니까용!!! 디자인도 예뻐요,0,
30,23.04.06.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,싸고 좋아요 퀄리티 굿,1,
31,23.04.06.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-인스타,너무 예뻐요 너무 잘 쓰고 있어요,1,
32,23.04.05.,5,모델: 에어팟 프로/프로2 / 옵션: 프로17-카메라블루,배송이 빠르고 사진과 똑같아요,1,
33,23.04.05.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-쿼카 브라운,배송이 빠르고 사진과 똑같아요!,1,
34,23.04.05.,5,모델: 프로/프로2 / 옵션: 프로02-닌텐도,튼튼하고 좋네요! 충전 램프가 안보이는게 좀 아쉽긴하지만 클립도 함께 주시고 만족합니다.,0,
35,23.04.05.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,이쁘고 사은품도 있어서 기뻐요,1,
36,23.04.04.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-닌텐도,좋아요 뫃아요 뫃아요 뫃아요ㅔ,1,
37,23.04.04.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,기대이상으로 이뻐요🫣,1,
38,23.04.02.,5,모델: 에어팟 프로/프로2 / 옵션: 프로30-네모푸,"네모 곰돌이 푸 케이스 골랐는데 너무 귀여워영~
사기 너무 잘한듯!! 
케이스 더러워지면 또 사러 올게영~
케이스에 달린 고리두 넘 예쁘영~",1,
39,23.04.02.,5,모델: 에어팟 프로/프로2 / 옵션: 프로12-카드캡터,"카드캡쳐체리 좋아해서 바로 구매했어영
너무 귀엽규 예쁘구 좋음!
함께 보내주신 것들도 잘 쓸게여..
근데 저 에어팟 프로2 캐이스 샀는데 
랜덤으로 주신 케이스는 프로케이스가 아니라서..
받아두 쓸수가 없네영..속상..",0,
40,23.04.02.,5,모델: 프로/프로2 / 옵션: 프로02-닌텐도,디자인도 맘에들고 제품이 튼튼해서 잘쓰고 있어요,1,
41,23.04.01.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,"졸귀탱입니다
두번사세요",1,
42,23.04.01.,5,모델: 에어팟 프로/프로2 / 옵션: 프로17-카메라블루,"배송도 빠르고 만족합니다
하나 구매했는데 사은품으로 단선방지캡도 넣어주셨네요~",1,
43,23.03.30.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,"디자인 너무 귀엽네요~~~
싸게 잘샀어요",1,
44,23.03.28.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,맘에들어요. 사은품도 마음에 들어요,1,
45,23.03.28.,5,모델: 에어팟 프로/프로2 / 옵션: 프로21-감귤꼬꼬 캐릭터,이뻐요. 사은품도 마음에 들어요,1,
46,23.03.27.,5,모델: 에어팟 프로/프로2 / 옵션: 프로03-쿼카 화이트,넘넘 귀야워영💓💓💓,1,
47,23.03.27.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-닌텐도,서비스좋고 이제 케이스는 여기서 구매하겠습니다,1,
48,23.03.27.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-마샬,받자마자 너무 디테일하고 귀여워서 놀랬어요! 판매자의 친절한 쪽지와 서비스까지 너무 감사합니다 잘 쓰고 또 구매하려구요~,1,
49,23.03.25.,5,모델: 에어팟 프로/프로2 / 옵션: 프로21-감귤꼬꼬 캐릭터,"두개 샀더니 하나 더 주시고 좋네요~
많이 파세요",1,
50,23.03.22.,5,모델: 에어팟 1/2세대 / 옵션: 20-사이다＋키링,여전히 잘 쓰고 있어요,1,
51,23.03.22.,5,모델: 에어팟 1/2세대 / 옵션: 19-블루콜라＋키링,여전히 잘 쓰고 있어요,1,
52,23.03.18.,5,모델: 에어팟 프로/프로2 / 옵션: 프로06-상어,이뻐요. 잘쓸게요!!,1,
53,23.03.18.,5,모델: 에어팟 프로/프로2 / 옵션: 프로14-닌텐도,이뻐요. 잘쓸게요!!,1,
54,23.03.18.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,투명하고 좋은데 힌지쪽에 먼지가 장난 아니네요,0,
55,23.03.17.,5,모델: 프로/프로2 / 옵션: 프로12-투명젤리케이스 + 키링,좋아여 잘쓰고있어요,1,
56,23.03.16.,5,모델: NEW 에어팟3세대 / 옵션: 08-상어,"빠른배송과 사진과 동일한 상품!!
정말 귀여워요!",1,
57,23.03.14.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,얼룩이 있는데 그냥 씁니다,1,
58,23.03.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-인스타,이뻐요 ㅎㅎ 잘쓸게요!!,1,
59,23.03.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로23-조이패드 화이트,디자인 너무 귀엽고 좋네요,1,
60,23.03.10.,5,모델: 프로/프로2 / 옵션: 프로02-닌텐도,너무 만족스럽게 사용중이에요ㅎ,1,
61,23.03.07.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-인스타,너무 예뻐요 너무 부드러워요 많이 팔세요,1,
62,23.03.06.,5,모델: 에어팟 프로/프로2 / 옵션: 프로16-카메라블루,다들 케이스 귀엽다고해요,1,
63,23.03.05.,5,모델: 프로/프로2 / 옵션: 프로22-카메라블루,이쁘네요 잘 쓰고 있습니다,1,
64,23.03.05.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,잘 쓰고 있습니다 괜찮은거같아요,1,
65,23.03.05.,5,모델: 프로/프로2 / 옵션: 프로09-카메라민트,좋아요 좋아요  좋아요,1,
66,23.03.05.,5,모델: 프로/프로2 / 옵션: 프로05-감귤꼬꼬 캐릭터,예쁘고 좋아요 민트 민트,1,
67,23.03.04.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,잘 사용하겠습니다 감사합니다,1,
68,23.03.03.,5,모델: 프로/프로2 / 옵션: 프로09-카메라민트,넘 만족 스러워요 가성비느도 너무 좋고 배송 상태도 좋아요 재 주문의사 100% 또주문 할게요,1,
69,23.03.03.,5,모델: 프로/프로2 / 옵션: 프로10-카메라블루,넘 만족 스러워요 가성비느도 너무 좋고 배송 상태도 좋아요 재 주문의사 100% 또주문 할게요,1,
70,23.03.01.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,이뻐요 이뻐 배송빠르고 굿,1,
71,23.02.28.,5,모델: 프로/프로2 / 옵션: 프로07-조이패드 블랙,잘쓰고 있어요 귀엽고 좋아요 추천드립니당!,1,
72,23.02.27.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,좋습니다 애용이요.,1,
73,23.02.24.,5,모델: 프로/프로2 / 옵션: 프로12-투명젤리케이스 + 키링,깔끔합니다. 추천합니다.,1,
74,23.02.24.,5,모델: 프로/프로2 / 옵션: 프로05-감귤꼬꼬 캐릭터,예쁘고 좋아요~~~,1,
75,23.02.22.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,상품 너무 좋아요!!,1,
76,23.02.22.,5,모델: 프로/프로2 / 옵션: 프로21-카메라민트,상품 너무 좋아요!!,1,
77,23.02.22.,5,모델: 프로/프로2 / 옵션: 프로05-감귤꼬꼬 캐릭터,고급스럽습니다. 좋아용 ㅎㅎ 친절해요,1,
78,23.02.21.,5,모델: NEW 에어팟3세대 / 옵션: 19-몬스터볼,"존예스럽습니다,,,구매 아주 만족해요",1,
79,23.02.19.,5,모델: 프로/프로2 / 옵션: 프로04-인스타,이뿌네요 잘쓸게요 케이스,1,
80,23.02.18.,5,모델: 프로/프로2 / 옵션: 프로06-아따공룡,잘 갖고다니고 있어요 귀여워요,1,
81,23.02.16.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-아따공룡,"선물 바로 줘버려서 사진은 못찍었네요 ㅠ-ㅠ 
저렴해서 퀄리티 떨어질까 걱정했는데 사진과 똑같고 3개 사니 사은품도 있고 너무 좋아요 ♥",1,
82,23.02.15.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,아이들이 잘 쓰고있어요,1,
83,23.02.12.,5,모델: 프로/프로2 / 옵션: 프로10-카메라블루,ㅅㅅㅅ 굿굿 대박용,1,
84,23.02.11.,5,모델: 프로/프로2 / 옵션: 프로02-닌텐도,이쁘게 잘욋오요 최공,1,
85,23.02.10.,5,모델: 프로/프로2 / 옵션: 프로10-카메라블루,아주 좋아요!!!또 구매하려고 해요!,1,
86,23.02.10.,5,모델: 에어팟 1/2세대 / 옵션: 03-조이패드 블랙,배송 빠르고 좋아요,1,
87,23.02.10.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,상품이 만족스러워요,1,
88,23.02.09.,5,모델: 프로/프로2 / 옵션: 프로07-조이패드 블랙,배송진짜빠르고 색깔이 때도안타서 구질구질한 쓰던건바로 휴지통직행!,1,
89,23.02.07.,5,모델: 프로/프로2 / 옵션: 프로17-상어,가격도 싸고 상품도 짱짱합니다,1,
90,23.02.07.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,정말 마음에 들어요!,1,
91,23.02.06.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,제품 좋고 배송 빨라요,1,
92,23.02.06.,5,모델: 프로/프로2 / 옵션: 프로07-조이패드 블랙,제품 좋고 배송 빨라요,1,
93,23.02.05.,5,모델: 프로/프로2 / 옵션: 프로11-감귤꼬꼬 캐릭터,가격대비 우수합니다 잘 사용하고 있습니다,1,
94,23.02.04.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,옆이 살짝 뜨긴하는데 너무 귀여워요 ㅎㅎ,0,
95,23.02.04.,5,모델: 에어팟 1/2세대 / 옵션: 02-마샬,"배송 빠르고 좋아요!!
저렴한 가격에 잘 샀어요",1,
96,23.02.02.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,배송이 빠릅니다. 추천합니다.,1,
97,23.02.02.,5,모델: 프로/프로2 / 옵션: 프로03-조이패드 화이트,너무 마음에 들고 보내주신 사은품도 정말 감사하비다 :),1,
98,23.02.01.,5,모델: 프로/프로2 / 옵션: 프로09-카메라민트,착한 가격 빠른 배송,1,
99,23.02.01.,5,모델: 프로/프로2 / 옵션: 프로01-마샬,보시는바와 너무 귀엽습니다 ㅎㅎ,1,
