,Unnamed: 0,기입날짜,별점,옵션,후기,sentiment,Unnamed: 6
0,0,23.04.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 49-반투명,사은품이 본품만큼 좋네욤 빠른배송감사하구요 번창하새요,1,
1,1,23.04.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,케이스가 아주 맘에들어요,1,
2,2,23.04.13.,5,모델: 1.NEW 에어팟3세대 / 옵션: 36-설리,저렴하게 잘 샀습니다. 감사합니다!,1,
3,3,23.04.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-닌텐도,배송빠르고 디자인 넘이뻐요,1,
4,4,23.04.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 03-닌텐도 조이스틱,"케이스 너무 귀여워요^_^
 강추!!",1,
5,5,23.04.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,"샀는데 또 사고 싶어서
다음것도 주문들어갑니다.
자주 떨어틀어서 꼭 케이스
있어야해요^_^",1,
6,6,23.04.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 14-고양이발 핑크,배송이 빠르고 뇌물로 주신 케이스 너무 좋아요,1,
7,7,23.04.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 13-냥이 블랙,배송도 빠르고 뇌물로 주신 케이스가 너무 좋아요,1,
8,8,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 20-잠만보,너무 귀엽고 이뻐요😁😁,1,
9,9,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,너무 예쁘네요..  좋습니다,1,
10,10,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 12-냥이 화이트,저렴하게 많이 받았네요,1,
11,11,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,"너무 귀여워서 선물해주기 좋아요
이것저것 덤으로 더주시고 무선충전 인식도 되고 너무 좋아요",1,
12,12,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,"아 너무 귀여워서 선물해주기 좋아요
이것저것 덤으로 더주시고 무선충전 인식도 되고 너무 좋아요",1,
13,13,23.04.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,튼튼하고 보호를 잘 해줘요,1,
14,14,23.04.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,마음에 드는 랜덤 에어팟 케이스 주셔서 좋음,1,
15,15,23.04.06.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,만족해요 잘 사용할게요,1,
16,16,23.04.06.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,튼튼하고 좋아요!!,1,
17,17,23.04.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,쿼카 넘귀!! 사은품도 많고 좋아용,1,
18,18,23.04.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,배송도 빠르고 사은품도 많고 좋아요!!,1,
19,19,23.04.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 04-닌텐도,"추가로 주신 케이스도 이쁨 
들고다니면 어디서 샀냐고 물어봄",1,
20,20,23.04.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-상어,"상어랑 시바 샀는데, 서비스로 투슬리스까지 와서 너무 좋았어요!
배송도 완전 초특급으로 빠름이라 기다릴 시간도 없이 왔네요ㅎㅎ",1,
21,21,23.04.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 03-투슬리스 블랙,귀엽고 빠른배송 감사햐요,1,
22,22,23.04.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,귀엽고 배송빨라요 ㅎㅎ,1,
23,23,23.04.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 44-딸기라떼,😀😀😀😀😀😀,1,
24,24,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,싸고 좋습니다 국굿,1,
25,25,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 16-오리모자,싸고 좋습니다 국굿,1,
26,26,23.04.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 61-캔디화이트,너무 마음에 들어요^^ 제가 마침 갖고 싶었던 케이스들이서 매일매일 기분에 따라 바꿔 끼우도 다녀요~ 감사합니다,1,
27,27,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-상어,케이스 안쪽 마감은 가격이 가격이다보니까 어쩔수 없지만 안보여서 무난무난힌거 같아요,0,
28,28,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-닌텐도,"너무 귀여워요!
사은품으로 주신 핑크돼지가 더 귀여워서 사은품을 쓰고있는건 안비밀~ '-^*",1,
29,29,23.04.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 06-시바얼굴,"너무 귀여워요!
사은품으로 주신 랜덤 케이스는 핑크돼지였는데 사은품이 더 이뻐서 사은품으로 쓰고있는건 안비밀!! '-^*",1,
30,30,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,커플로 쿼카 맞췄어요 완전 존귀탱이에요 ㅎㅎ,1,
31,31,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,넘나 넘나 귀여워요,1,
32,32,23.03.31.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-테디도그 화이트,넘귀여워요 ㅋ 잘쓸께유,1,
33,33,23.03.30.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,"너무 귀엽네요
별점 뇌물을 산만큼 주셔서 너무 감사합니다
잘쓸게욤~~",1,
34,34,23.03.29.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-상어,너무 귀엽네요. 잘 쓰겠습니다.,1,
35,35,23.03.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,"하나 사서 한개를 더 받았었는데요
질리지 않아서 좋았습니다 ~~
바꿔낄때 조금 힘들었지만^^
이제 슬슬 바꿀 때가 되어가는데요
샛노란 우비옷을 입은 돼지를 구입했었는데
먼지도 안 붙고 때도 안 타고 
들고 다니기 쉽게 키링처럼 탈부착되는 
쇠링이 있어서 좋아요
저번에 애기가 장난감인줄 알고 저~~멀리서 
두번인가 던졌었는데 ^^
다행히 말짱하더라구요
그런 기능도 있더랬습니다
한달후기 만족입니다",0,
36,36,23.03.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,조아요 ㅎㅎ 귀여우야요,1,
37,37,23.03.25.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카브라운 캐릭터,너무 귀여워용 ㅠㅠㅠ 품절이라 2주 기다렸는데 완전 만족!!!,1,
38,38,23.03.24.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-아따공룡,넘귀여워용🥹🥹❤️,1,
39,39,23.03.24.,5,모델: 1.NEW 에어팟3세대 / 옵션: 16-오리모자,넘 귀여워요~~🥹👍,1,
40,40,23.03.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 09-테디도그브라운,상품좋아요. 배송도 빨라요,1,
41,41,23.03.22.,5,모델: 1.NEW 에어팟3세대 / 옵션: 20-잠만보,너무너무너무 좋아요,1,
42,42,23.03.21.,5,모델: 1.NEW 에어팟3세대 / 옵션: 51-레몬,케이스 2개 구매했는데 사은품을 더 많이 주네요 케이스 이뻐요 감사합니다,1,
43,43,23.03.21.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,"케이스 두개 샀더니 키링도 주고 케이스 2개 더 주고 서비스가 좋네요 
케이스도 깔끔하게 이뻐요 감사합니다",1,
44,44,23.03.20.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,곰돌이 너무 귀여워,1,
45,45,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 31-고양이발 핑크,배송빠르고 좋아요.,1,
46,46,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 30-냥이 블랙,배송빠르고 질도 좋네요,1,
47,47,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,"오, 너무 귀엽습니다. 같이 무료로 동봉해준 상품들도 잘 쓰겠습니다",1,
48,48,23.03.18.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,만족합니다 좋아요~,1,
49,49,23.03.17.,5,모델: 1.NEW 에어팟3세대 / 옵션: 33-공룡이그린,"귀엽고 싸요
에어팟을 보호할 수 있어서 좋네요",1,
50,50,23.03.17.,5,모델: 1.NEW 에어팟3세대 / 옵션: 05-마샬,너무 깜찍해서 놀람 대만족쿠 서비스도 빵빵,1,
51,51,23.03.16.,5,모델: 1.NEW 에어팟3세대 / 옵션: 22-버섯,배송빠르고 좋아요 잘쓸께요,1,
52,52,23.03.16.,5,모델: 1.NEW 에어팟3세대 / 옵션: 34-공룡이핑크,싸구려 색상이 아니라 예쁜 색이에요,1,
53,53,23.03.15.,5,모델: 1.NEW 에어팟3세대 / 옵션: 04-닌텐도,빠르고 좋네요 굿ㄱ,1,
54,54,23.03.15.,5,모델: 1.NEW 에어팟3세대 / 옵션: 15-볼터치공룡그린,빠르게 왓습니다 이쁘고 좋네요,1,
55,55,23.03.14.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,이쁘고 귀여워용 ㅎㅎ,1,
56,56,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 41-조이패드 블랙,ㅔㅂ리베리베리베리베리베리베리베리베리베리굿,1,
57,57,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,귀여워요 너무 귀여워,1,
58,58,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,이쁘고 좋네요 잘쓸께요,1,
59,59,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,이쁘고 좋네요 잘쓸께요,1,
60,60,23.03.12.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,잘쓰고 있습니다 좋아요,1,
61,61,23.03.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 17-우비피기,가성비 좋고 이뻐요,1,
62,62,23.03.11.,5,모델: 1.NEW 에어팟3세대 / 옵션: 44-딸기라떼,이쁘고 좋아요 좋아요,1,
63,63,23.03.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 31-고양이발 핑크,너무 귀엽고 아주 좋아요,1,
64,64,23.03.10.,5,모델: 1.NEW 에어팟3세대 / 옵션: 54-스카이,너무 귀엽고 아주 좋아요~^^,1,
65,65,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,맘에들어여 추천합니다,1,
66,66,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 55-퍼플,맘에들어요 추천합니다,1,
67,67,23.03.09.,5,모델: 1.NEW 에어팟3세대 / 옵션: 18-불독블랙,귀엽게 사용하고 있어요,1,
68,68,23.03.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,케이스 너무 귀엽네요 서비스로 주신 케이스도 감사합니다!,1,
69,69,23.03.08.,5,모델: 1.NEW 에어팟3세대 / 옵션: 08-상어,이쁘고 좋아요! 가성비 좋네요,1,
70,70,23.03.07.,5,모델: 1.NEW 에어팟3세대 / 옵션: 11-시바얼굴,귀엽고 때가 잘안탑니다.,1,
71,71,23.03.07.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카브라운 캐릭터,배송 빠르고 물건 좋아요 완전 귀여움,1,
72,72,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 15-볼터치공룡그린,"배송 빠르고, 케이스 너무 귀여워요
서비스 주신 것들도 잘 받았습니다:)",1,
73,73,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,"사진과 똑같아요 
주신 사운품도 역시 좋아요 
번창하세요!!!",1,
74,74,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 42-조이패드 화이트,"사장님
감사합니다
완전 귀여워요",1,
75,75,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 41-조이패드 블랙,"완전 귀여워요
감사합니다",1,
76,76,23.03.05.,5,모델: 1.NEW 에어팟3세대 / 옵션: 02-쿼카화이트 캐릭터,너무 귀여워요 근데 머리가 좀 잘 빠져요..,0,
77,77,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,"케이스가 너무 귀엽고 서비스도 너무 만족했어요!
나중에 케이스가 해져서 못쓰면 또 재구매 할거 같아요^_^ 무배라 더 좋은거 같아요!
만족합니다^^",1,
78,78,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카화이트 캐릭터,좋습니다 좋아요...,1,
79,79,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 32-고양이발 화이트,좋습니다 좋아요..,1,
80,80,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카화이트 캐릭터,저렴하게 잘 구매했는데 배송도 빨랐어요 ㅠㅠ 덤도 많이 주셔서 좋았습니다,1,
81,81,23.03.04.,5,모델: 1.NEW 에어팟3세대 / 옵션: 54-스카이,저렴하게 잘 구매했는데 배송도 빨랐어요 ㅠㅠ 덤도 많이 주셔서 좋았습니다,1,
82,82,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 22-버섯,"에어팟을 선물 받아서 케이스 끼우려고 구매 했어요
그런데 에어팟프로2인데 기종을 잘못알아서 엉뚱한걸 샀네요ㅠ
다시 구매 할께요",1,
83,83,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,"너무 귀엽네요
촉감도 좋구 마감도 좋습니다.
무엇보다 키링(?) 이 달려서 손에서 떨굴 걱정없어서 좋습니다",1,
84,84,23.03.03.,5,모델: 1.NEW 에어팟3세대 / 옵션: 10-테디도그 화이트,귀여워영 키링도 달려잇어서 손가락에 걸고다니기ㅜ좋을 듯,1,
85,85,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,배송 빠르고 가격도 좋아서 친구에게 추천해줬어요☺️,1,
86,86,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 23-세일러문 마법봉,잘 사용하고 있습니다 많이 파세뇨,1,
87,87,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 19-몬스터볼,"고무냄새 조금 나고, 몬스터 구매 했는데 생각보다 큼.",0,
88,88,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 25-에그토스트,"진짜 이렇게 주시면 남는게 있나여..사장뉨..🌟
케이스 이쁘고 랜덤으로 온것도 이뻐여..!
잘 쓰겠습니다~",1,
89,89,23.03.02.,5,모델: 1.NEW 에어팟3세대 / 옵션: 43-몬스터,너무 귀얍네여ㅋ잘 쓰겠습니다ㅋ,1,
90,90,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 18-불독블랙,"에어팟을 많이 떨어뜨려서 케이스가 필요했는데
배송도 괜찮았고 너무 귀여워요!!ㅎㅎ
블랙이라 깔끔하면서 유니크하니 마음에 들어요~!
같이 주신 것도 잘 쓸게요^^",1,
91,91,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 27-비모,너무만족합니다. 무배에 추가 캐릭터라니...,1,
92,92,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 20-잠만보,이뻐요 실리콘이라 놓쳐도 안깨지고 좋네요 감사합니다.,1,
93,93,23.03.01.,5,모델: 1.NEW 에어팟3세대 / 옵션: 43-몬스터,배송도빠르고좋아여^^,1,
94,94,23.02.28.,5,모델: 1.NEW 에어팟3세대 / 옵션: 58-카키,배송이 잘못왔지만 빠르게 처리해주신점이 좋았어요,0,
95,95,23.02.27.,5,모델: 1.NEW 에어팟3세대 / 옵션: 57-그린,색깔도 다양하고 사은품으로 주는 것도 많아서 좋아요,1,
96,96,23.02.27.,5,모델: 에어팟 1/2세대 1+1 / 옵션: 71-블랙 1+1,색깔도 다양하고 사은품으로 주는 것도 많아서 좋아요,1,
97,97,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,쿼카랑 냥이화이트 주문했는데 랜던발송 제품들을 예쁜것만 보내쥬셔서 감사합니다~,1,
98,98,23.02.26.,5,모델: 1.NEW 에어팟3세대 / 옵션: 29-냥이 화이트,랜덤이라지만 귀엽고 마음에 드는것만 보내주셔서 감사합니다~,1,
