,기입날짜,별점,옵션,후기,sentiment
0,23.04.14.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",여기꺼만 먹어요~~~,1
1,23.04.14.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",붓기잘빶고  맛나여,1
2,23.04.14.,5,"삼각티백 종류 선택: 자스민차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 아주 좋아요,1
3,23.04.14.,5,"삼각티백 종류 선택: 석류 콤부차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 아주 좋아요,1
4,23.04.14.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",맛이찐하고 좋아용 붓기,1
5,23.04.13.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어머니가 갑자기 당이 높아지셔서 사봤어..효과가 있으시길..,1
6,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어머니가 갑자기 당이 높아지셔서 사봤어..효과가 있으시길..,1
7,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 마시겠습니다!!,1
8,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 마시겠습니다!!,1
9,23.04.13.,5,"삼각티백 종류 선택: 결명자차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","기존에 먹던게 남아서 아직 먹어보진 못했어요
하지만 기대가 됩니다",1
10,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요","기존에 먹던게 남아서 아직 먹어보진 못했어요
하지만 기대가 됩니다",1
11,23.04.13.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 시켜먹고 있어요 바나바 당뇨에 좋아요,1
12,23.04.13.,5,"삼각티백 종류 선택: 쑥차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","하루만에 배송와서 바로 먹었는데 매우 맛있어요.
유통기한도 26년까지 길고 좋습니다.
포장도 귀여워서 손이 자주 갈것같아요",1
13,23.04.13.,5,"삼각티백 종류 선택: 당귀차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","26년도 까지의 유통기한으로 아주 넉넉하고 
잘 우러나서 회사에서 먹기 좋습니다.
맛도 좋고 건강도 좋아지는 기분이에요",1
14,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","포장깔끔하고
맛도 좋아요",1
15,23.04.13.,5,"삼각티백 종류 선택: 대추차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","매번 주문하고 있어요
깔끔하고 좋아요",1
16,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 좋아용,1
17,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",빠르게 잘 받았습니다 호박팥차는 두번째 구매입니다 다른차도 마셔봤는데 여기건 다 마시기 좋은차인거 같습니다,1
18,23.04.13.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",아이들이 기침을 오래하고 있어서 구매해봤어요~,1
19,23.04.13.,5,"삼각티백 종류 선택: 유기농 작두콩차 / 삼각티백 구성 선택: 25티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","아이들 비염, 기침이 심해서 구매했어요~ 약도 먹고 있지만 도움된다는 거 이것 저것 해보는 중이에요ㅠ 효과가 있으면 좋겠네요ㅎㅎ",1
20,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",다른 제품도 먹어 봤지만 해피테라스 돼지감자차가 제일 맛이 좋아 6번째 재구매인가봐요~~,1
21,23.04.13.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",항상 맛있게 마시고 있어요,1
22,23.04.13.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강에 좋다고하여 물병에 넣어 수시로 먹습니다. 보장도 깔끔하고 추천합니다.,1
23,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 구매해 먹고 있어요 시중에 파는 호박팥차보다 더 고소하고 맛있고 저렴해욤~ 집에 있는 레몬 한조각까지 넣어 먹으면 디톡스차 완성입니당,1
24,23.04.13.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",잘 먹고 있어요..,1
25,23.04.13.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",아침에 차로 한잔씩 마시고있어요 당뇨에 좋다고해서 구매했는데 먹을 만 하네요,1
26,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",먹기도 편하고 맛도 구수해서 좋아요,1
27,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",잘 우러나고 구수햐서 먹기 좋아요.,1
28,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요","커피 끊으려고 사무실에서 마실 차를 검색하다가 후기가 좋아서 주문했구요 주말에 주문했음에도 다음날 바로 왔어요 우와
이거 다 마시고 종류별로 다른 거 다 마셔보려구요 포장이 너무 이뻐요",1
29,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","물대신 수시로 마시려고 구매했습니다
구수해서 수시로 마시기 좋아요",1
30,23.04.13.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",100티백짜리 구매해서 다먹고 너무 좋아서 재구매했습니다.   몸이 차가워서 소화기능 떨어지시는분들에게 진짜 좋은서같아요 ...  ㅜㅜ 일주일에 한 두번은 체해서  고생하던 1인이었는데 이거 꾸준히 마시고나면서 거짓말같이 안체해요 ㅠㅜ진.짜. 자주 체해서  새벽레는 응급실도 다녀오고  막 스크레스받았던터라 이게 제 인생 베스트템이라고 손 꼽을정도로 좋아요 ㅠㅠ 다막고 또 주문할거에요!!!!,1
31,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","구수하고 맛있어요
포장도 깔끔해서좋아요~",1
32,23.04.12.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 포장도 좋고 맛이 괜찮아요,1
33,23.04.12.,5,"삼각티백 종류 선택: 대추차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 이곳에서 차를 사마시고 있어요! 좋아요!,1
34,23.04.12.,5,"삼각티백 종류 선택: 생강차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 이곳에서 구입해서 차를 마시고 있습니다! 좋아요!,1
35,23.04.12.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구수하니 넘 맛있어요~ 다이어트 하면서 꾸준히 물처럼 마시고 있어요ㅎㅎ🤎,1
36,23.04.12.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 잘되어 있고 간편하게 먹기 좋아요,1
37,23.04.12.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",간편하게 먹기 좋아요,1
38,23.04.12.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",배송빠르고 깔끔하게 도착해요,1
39,23.04.12.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",배송 빠르고 깔끔하게 도착해요,1
40,23.04.12.,5,"삼각티백 종류 선택: 감잎차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",커피 안먹을려고 먹는대 맛이 좋아요,1
41,23.04.12.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 10티백X5개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",커피 안먹을려고 주문했는대 좋아서 다시 주문합니다,1
42,23.04.12.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",붓기빼는 차로 계속 마시고있어요,1
43,23.04.12.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",엄청 맛있어요! 붓기 빼기도 좋고 카페인도 없어서 자기전 가족들과 한잔씩 마십니다! 최고!!,1
44,23.04.12.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","환절기에 목에 좋은 작두콩 사봤어요 ~
여러종류의 차를 총알배송으로 살수 있어서 좋네요 ♡",1
45,23.04.12.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","날이 더워지고 있어서 계피차 사봤어요
찬물에 우려도 은은하니 맛나요",1
46,23.04.12.,5,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",부모님이 당뇨라서 구매했어요 ^^,1
47,23.04.12.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","어제 저녁에 주문했는데 오늘 도착했네요~
깔끔하고 맛있어요 ♡",1
48,23.04.12.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매일매일 꾸준히 따뜻하게 먹고있어요,1
49,23.04.12.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매일매일 꾸준히 따뜻하게 먹고있어요,1
50,23.04.12.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요","비염있어서 주문했는데,. 괜찮네요.. 오래 우려내면 비린맛이 나는 제품이 가끔 있던데, , 이건 괜찮더라구요..",1
51,23.04.12.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛도좋고 양도좋아서 잘먹고있어요,1
52,23.04.12.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",한달 잘 먹고 또 주문하러 왔어요,1
53,23.04.12.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",몇번째 재구매인지 모르겠어요 최고예요,1
54,23.04.11.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",감사합니당!!!!!!!!!!,1
55,23.04.11.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",요즘 간절기에 잘 먹고있어요,1
56,23.04.11.,5,"삼각티백 종류 선택: 여주차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",신랑이 당이 있어서 평사시 물  티백넣어서 먹일라고요,1
57,23.04.11.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","아이가 감기를 달고 살아서 ㅠㅠ
유치원보낼시에  배도라지차 우려서 보내보려고 주문했어요.",1
58,23.04.11.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",깔끔하고 좋은거 같아요,1
59,23.04.11.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",깔끔하고 좋은거같아요,1
60,23.04.11.,5,"삼각티백 종류 선택: 당귀차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",당귀차 향이 강하지 않고 맛은 보리차보다 싱거운? 화장실은 잘가게되어서 좋아요!,1
61,23.04.11.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",남편이 고혈압전단계인데 돼지감자차가 좋다고 해서 주문해어요~ 티백2개우려서 500미리 텀블러에 매일 챙겨주는데 구수하고 맛있다고 하네요~,1
62,23.04.11.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 예쁘고 맛도 구수하고 좋아요~^^,1
63,23.04.11.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",고소하고 저렴하고 일석이조!,1
64,23.04.11.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",몸에 좋은 차 마시려고 주문했어요.,1
65,23.04.11.,5,"삼각티백 종류 선택: 국화차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",몸에 좋은 차 마시려고 주문했어요.,1
66,23.04.11.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",몸에 좋은 차 마시려고 주문했어요.,1
67,23.04.11.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요","매일 충분한 물마시기를 지키기 위해서
아침마다 큰 물통에 우려놓고 먹어요. 
많이 희석되서 저에겐 너무 먹기 좋아요.",1
68,23.04.11.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 티백이니 아주 간편해요. 특히 당뇨에 좋아요. 맛도 좋아요,1
69,23.04.11.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",끝에 살짝 단맛이 기분 조아요 계피향도 은은해서 좋습니다,1
70,23.04.11.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송빠르고 상품 좋아요 또 구매할께요,1
71,23.04.11.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",구수하고 먹을만합니다 맛으로먹진않아요,1
72,23.04.10.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",저번에 구매했던 곳 가격이 올라서 착한 가격 찾다가 구매한 건데 어머니가 패키지 예쁘다고 더 좋아하세요~ 소분해서 보관할 수 있어서 좋네요^^ 번창하세요!,1
73,23.04.10.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",물건잘받았습니다 자주시키는곳이라 믿고 마시겠습니다,1
74,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",물건잘받았습니다 자주시키는곳이라 믿고마십니다,1
75,23.04.10.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",여기상품이좋아서 이번엔다른차로재구매했어요!,1
76,23.04.10.,5,"삼각티백 종류 선택: 레몬 콤부차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",여기상품이좋아서 이번엔다른차로재구매했어요!,1
77,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","냄새가 구수해요
꾸준히 먹어보려구요~",1
78,23.04.10.,5,"삼각티백 종류 선택: 계피차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송도 빠르고 잘 도착했습니다. 회사 탕비실에서 먹는거라 통에 담아두고 먹는데 상사분들 잘 드시네요. 향은 많이 나고 맛은 약간 연한데 전 진하지 않아서 좋네요.,1
79,23.04.10.,5,"삼각티백 종류 선택: 야관문차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",먹어봤는데 좋아서 또 주문했네요,1
80,23.04.10.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 우러나고 좋아요 감사합니다,1
81,23.04.10.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",3번째 재구매했어요,1
82,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",이거가 제일 마싯다고 하쉼 꼬숩다고~~,1
83,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",통에 따로넣어서 쓰는중이엥영 맛잇서요,1
84,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",걍 그래요 ㅎㅎㅎ맛은.. 잘모르겠오요 ㅋㅋ 제입맛에는 그닥이네요 이다음엔 다른맛으로 주문해볼게요!!,0
85,23.04.10.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매번 재주문 해서 먹고 있어요 좋아요!!,1
86,23.04.10.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",좋아요 매번 재주문 해서 먹고 있어요,1
87,23.04.10.,5,"삼각티백 종류 선택: 우슬차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",토요일 저녁에 주문했는데 월요일 아침 도착했네요 배송도 빠르고 매번 재주문 해서 먹고 있습니다^^,1
88,23.04.10.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있어요~1g과1.5g으로 두가지라 좋구요,1
89,23.04.09.,5,"삼각티백 종류 선택: 배도라지차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있게 잘마시고 있습니다,1
90,23.04.09.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있게 잘맛고 있어요,1
91,23.04.09.,5,"삼각티백 종류 선택: 구기자차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛잇게 잘마시고 있어요,1
92,23.04.09.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","식전에 매일 한잔씩 복용하고있습니다
고혈압.당료수치가 정상수치에 있어서 만족하고 재구매해서 계속 복용해야겠습니다",1
93,23.04.09.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",굿굿 매번 시킵니댯 ㅇㄹ~~,1
94,23.04.09.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",호박팥차 너무 맛있어요,1
95,23.04.08.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",티백은 여기서만 사게되네요 바나바잎은 특히 당뇨인들 열심히 먹어요,1
96,23.04.08.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재구매입니다 맛있읍니다,1
97,23.04.08.,5,"삼각티백 종류 선택: 오미자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있읍니다 재구매입니다,1
98,23.04.08.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛있읍니다 재구매입니다,1
99,23.04.08.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재구매입니다 맛있읍니다,1
100,23.04.08.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매일 한 잔씩 마시고 있어요~^^,1
101,23.04.08.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛이 구수하고 맛있어요 포장꼼꼼하구요. 만족합니다,1
102,23.04.08.,5,"삼각티백 종류 선택: 도라지차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",작년에 주문했던거 다먹어가서 재주문했어요^^  도라지도 석류도 맛있습니다~ 석류콤부차 다른 브랜드 먹어봤는데 해피트리가 제일맛있어요^^,1
