,category,catlink,itemlink,itemname
0,❤후원 목걸이❤,https://smartstore.naver.com/vldiol/category/b1069017d4564db0a8271d2b64ffd014?cp=1,https://smartstore.naver.com/vldiol/products/8241901071,[브디올] 유기동물 후원 Cozy 목걸이
1,❤후원 팔찌❤,https://smartstore.naver.com/vldiol/category/011287821edf4f56ac9b6d214d1179e9?cp=1,https://smartstore.naver.com/vldiol/products/5647583908,[브디올] 유기동물 후원 디안 팔찌
2,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1,https://smartstore.naver.com/vldiol/products/8241901071,[브디올] 유기동물 후원 Cozy 목걸이
3,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1,https://smartstore.naver.com/vldiol/products/5647583908,[브디올] 유기동물 후원 디안 팔찌
4,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8131706861,[무배] 톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡  4컬러 1+1 골라담기
5,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8215932406,톡댓그립톡 미키 미니 디즈니 캐릭터 거울 미러 그립톡
6,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900405507,톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡
7,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8175469237,[무배] 톡댓그립톡 오로라 테디베어 곰돌이 레진 그립톡 5컬러 1+1 2개 골라담기
8,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8166812222,톡댓그립톡 우주 갤럭시 하리보 테디베어 아크릴 그립톡
9,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8140276417,[무배] 톡댓그립톡 하이틴 레트로 Y2K 키치 큐티 캐릭터 베티붑 아크릴 그립톡
10,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264295636,톡댓그립톡 키치한 Y2K 무드 에잇볼 갤럭시 아이폰 케이스
11,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264236478,톡댓그립톡 키치한 Y2K 무드 에잇볼 그립톡
12,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013142859,톡댓그립톡 럭키 구름 카메라풀커버 실리콘 젤리 아이폰 에어팟 케이스
13,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8385745521,[무배] 톡댓그립톡 초경량 도킹형 스틱 보조배터리 5000mAh C타입 갤럭시 8핀 아이폰 1+1 골라담기
14,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336487237,톡댓그립톡 키치한 쏘스 아크릴 그립톡
15,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336289795,톡댓그립톡 귀여운 피크닉 소품 디저트 아크릴 그립톡
16,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8324883889,톡댓그립톡 귀여운 키치 패스트푸드 프렌즈 아크릴 그립톡
17,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305549651,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 카드 케이스
18,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305400605,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 갤럭시 아이폰 케이스
19,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8289155165,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 아크릴 그립톡
20,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264146485,톡댓그립톡 폭신폭신 귀여운 리본 털 토끼 열쇠고리 키홀더 키링
21,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264032896,톡댓그립톡 폭신폭신 귀여운 하트 폼폼이 솜털 열쇠고리 키링
22,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230754523,톡댓그립톡 베네치아 열쇠고리 에어팟 갤럭시버즈 키링
23,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230683006,톡댓그립톡 아기천사 열쇠고리 에어팟 갤럭시버즈 키링
24,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205344796,톡댓그립톡 귀여운 초코 곰돌이 에어팟 케이스 키링 세트
25,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205181256,톡댓그립톡 귀여운 하리보 카메라풀커버 실리콘 젤리 아이폰 케이스
26,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8168478517,톡댓그립톡 해피벌스데이 테디베어 인형 그립 스마트톡
27,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8161565340,톡댓그립톡 OREO 오레오 그립 스마트톡
28,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158386402,톡댓그립톡 디저트카페 아이스크림 치즈 쿠키 베이커리 아크릴 그립톡
29,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158258687,톡댓그립톡 피크닉 소풍 소품샵 구름 레몬 케이크 아크릴 그립톡
30,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150365318,톡댓그립톡 귀여운 센과 치히로 스스와타리 먼지 인형 그립톡
31,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150010199,톡댓그립톡 봄날 파스텔톤 플라워 꽃송이 아크릴 그립톡
32,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148335246,톡댓그립톡 폭신폭신 귀여운 산리오 캐릭터 쿠션팝 빅사이즈 인형 그립톡
33,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148107108,톡댓그립톡 건물 사이에 피어난 장미 그립톡
34,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336487237,톡댓그립톡 키치한 쏘스 아크릴 그립톡
35,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336289795,톡댓그립톡 귀여운 피크닉 소품 디저트 아크릴 그립톡
36,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8324883889,톡댓그립톡 귀여운 키치 패스트푸드 프렌즈 아크릴 그립톡
37,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8289155165,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 아크릴 그립톡
38,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264236478,톡댓그립톡 키치한 Y2K 무드 에잇볼 그립톡
39,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8215932406,톡댓그립톡 미키 미니 디즈니 캐릭터 거울 미러 그립톡
40,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8175469237,[무배] 톡댓그립톡 오로라 테디베어 곰돌이 레진 그립톡 5컬러 1+1 2개 골라담기
41,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8168478517,톡댓그립톡 해피벌스데이 테디베어 인형 그립 스마트톡
42,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8166812222,톡댓그립톡 우주 갤럭시 하리보 테디베어 아크릴 그립톡
43,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8161565340,톡댓그립톡 OREO 오레오 그립 스마트톡
44,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158386402,톡댓그립톡 디저트카페 아이스크림 치즈 쿠키 베이커리 아크릴 그립톡
45,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158258687,톡댓그립톡 피크닉 소풍 소품샵 구름 레몬 케이크 아크릴 그립톡
46,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150365318,톡댓그립톡 귀여운 센과 치히로 스스와타리 먼지 인형 그립톡
47,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150010199,톡댓그립톡 봄날 파스텔톤 플라워 꽃송이 아크릴 그립톡
48,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148335246,톡댓그립톡 폭신폭신 귀여운 산리오 캐릭터 쿠션팝 빅사이즈 인형 그립톡
49,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148107108,톡댓그립톡 건물 사이에 피어난 장미 그립톡
50,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8140276417,[무배] 톡댓그립톡 하이틴 레트로 Y2K 키치 큐티 캐릭터 베티붑 아크릴 그립톡
51,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8131706861,[무배] 톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡  4컬러 1+1 골라담기
52,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8120603034,톡댓그립톡 폭신폭신 귀여운 하트 폼폼이 솜털 멀티 컬러 그립톡
53,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8108074327,톡댓그립톡 폭신폭신 빵빵한 귀여운 하트 쿠션 패딩 그립톡
54,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8107911152,톡댓그립톡 비비드 빅 스마일 미러 거울 그립 스마트톡
55,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8107346149,톡댓그립톡 영롱한 유광 홀로그램 투명 곰돌이 하리보 오로라 레진 그립 스마트톡
56,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8105438890,톡댓그립톡 키치 유니크 하리보 초코비 곰젤리 쿠션 그립톡 별키링 포함
57,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8105199513,톡댓그립톡 고급스러운 무광 홀로그램 투명 곰돌이 하리보 오로라 레진 그립 스마트톡
58,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8098574202,[무배] 톡댓그립톡 엠엔엠즈 초콜릿 하이틴 테디베어 아크릴 그립 스마트톡
59,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8090818284,[무배] 톡댓그립톡 해피래빗 하이틴 토끼 아크릴 그립 스마트톡
60,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8087451583,[무배] 톡댓그립톡 귀여운 하이틴 심슨 도넛 핑거톡 그립톡
61,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075711084,톡댓그립톡 폭신폭신 꽃잎 플라워 그립톡 스마트톡
62,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075616464,톡댓그립톡 귀여운 곰돌이 인형 스마트톡 핑거톡 그립톡
63,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075415691,톡댓그립톡 귀여운 눈사람 식빵 쿠키 강아지 그립톡 스마트톡
64,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7922512839,[무배] 톡댓그립톡 스누즈키튼즈 캐릭터 스쿨 슈퍼마켓 아크릴 거치대 홀더 그립톡
65,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7918410978,톡댓그립톡 심플 링 그립톡2 맥세이프 메탈릭 컬러 그립톡
66,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7916980054,톡댓그립톡 복실복실 체리 베어 부드러운 곰돌이 인형 그립 스마트톡
67,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7916649014,톡댓그립톡 복실복실 귀여운 털실 곰돌이 곰도리 그립톡
68,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900405507,톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡
69,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900398440,톡댓그립톡 곰돌이 테드 테디베어 스마트톡 그립톡 거치대 홀더
70,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900379143,톡댓그립톡 깅엄 체크 해피데이 스마일 이모지 그립톡
71,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7897305430,[무배] 톡댓그립톡 디저트래빗 하이틴 토끼 아크릴 그립 스마트톡
72,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305400605,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 갤럭시 아이폰 케이스
73,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264295636,톡댓그립톡 키치한 Y2K 무드 에잇볼 갤럭시 아이폰 케이스
74,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205181256,톡댓그립톡 귀여운 하리보 카메라풀커버 실리콘 젤리 아이폰 케이스
75,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8100750909,톡댓그립톡 젤하드 투명 클리어 방탄 에어쿠션 범퍼 케이스
76,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8082044431,톡댓그립톡 심플 무광 힌지보호 힌지가드 Z플립4 케이스
77,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8039180302,톡댓그립톡 젤하드 맥세이프 아이폰 케이스
78,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013211707,톡댓그립톡 캔디 코튼 웨이브 미러 그립톡 일체형 아이폰 케이스
79,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013142859,톡댓그립톡 럭키 구름 카메라풀커버 실리콘 젤리 아이폰 에어팟 케이스
80,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8007297066,톡댓그립톡 사랑스러운 하트 토끼 베어 카메라풀커버 아이폰 케이스
81,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8007292622,톡댓그립톡 귀여운 바니 토끼 카메라풀커버 아이폰 케이스
82,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7934883863,톡댓그립톡 그라디언트 그라데이션 카메라 풀커버 카드수납 방탄 젤리 케이스 / 아이폰 갤럭시
83,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7934754880,톡댓그립톡 슈퍼방탄 변색방지 카드수납 카메라 풀커버 소프트 젤리 투명 갤럭시 아이폰 케이스
84,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7922714359,톡댓그립톡 하이틴 xoxo 다이어리 블링블링 글리터 아이폰 갤럭시 케이스
85,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7921446018,톡댓그립톡 Z플립4 플라워 스마일 이모지 케이스
86,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7920651509,톡댓그립톡 Z플립 힌지 가드 귀여운 냐미 커플 투명 케이스 포크 거치대 포함
87,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908245556,톡댓그립톡 귀여운 타마고 다이노 공룡 카메라 풀커버 아이폰 케이스
88,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908225437,톡댓그립톡 사랑스러운 로맨틱 커플 강아지 카메라 풀커버 케이스 아이폰
89,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7908205660,톡댓그립톡 상큼한 애플 민트 토끼와 곰돌이 카메라 풀커버 아이폰 케이스
